"ROUTE_NUMBER","EMPLOYEE_NUMBER","VEHICLE_NUMBER","READING_TYPE","READING_VALUE","READING_TAKEN"
513197,24387119,757,"FUEL_ECONOMY",1.376,16-JAN-2012 19:56:04
513197,24387119,757,"FUEL_ECONOMY",0.377,16-JAN-2012 19:53:03
513197,24387119,757,"FUEL_ECONOMY",2.667,16-JAN-2012 21:57:54
513197,24387119,757,"FUEL_ECONOMY",1.541,16-JAN-2012 21:40:21
513197,24387119,757,"FUEL_ECONOMY",2.931,16-JAN-2012 20:59:18
513197,24387119,757,"FUEL_ECONOMY",0.91,16-JAN-2012 20:55:18
513197,24387119,757,"FUEL_ECONOMY",0.991,16-JAN-2012 21:50:54
513197,24387119,757,"FUEL_ECONOMY",1.184,16-JAN-2012 18:05:52
513197,24387119,757,"FUEL_ECONOMY",1.275,16-JAN-2012 18:09:52
513197,24387119,757,"FUEL_ECONOMY",0.431,16-JAN-2012 18:12:52
513197,24387119,757,"FUEL_ECONOMY",0.692,16-JAN-2012 21:31:17
513197,24387119,757,"FUEL_ECONOMY",4.908,16-JAN-2012 21:09:29
513197,24387119,757,"FUEL_ECONOMY",2.57,16-JAN-2012 21:55:54
513197,24387119,757,"FUEL_ECONOMY",1.339,16-JAN-2012 21:41:21
513197,24387119,757,"FUEL_ECONOMY",0.395,16-JAN-2012 17:34:27
513197,24387119,757,"FUEL_ECONOMY",4.171,16-JAN-2012 20:58:18
513197,24387119,757,"FUEL_ECONOMY",3.323,16-JAN-2012 21:52:54
513197,24387119,757,"FUEL_ECONOMY",1.418,16-JAN-2012 22:08:54
513197,24387119,757,"FUEL_ECONOMY",0.212,16-JAN-2012 17:28:27
513197,24387119,757,"FUEL_ECONOMY",1.394,16-JAN-2012 18:08:52
513197,24387119,757,"FUEL_ECONOMY",0.357,16-JAN-2012 18:03:52
513197,24387119,757,"FUEL_ECONOMY",1.555,16-JAN-2012 19:49:02
513197,24387119,757,"FUEL_ECONOMY",3.743,16-JAN-2012 19:59:03
513197,24387119,757,"FUEL_ECONOMY",0.717,16-JAN-2012 20:53:18
513197,24387119,757,"FUEL_ECONOMY",1.731,16-JAN-2012 21:42:21
513197,24387119,757,"FUEL_ECONOMY",0.073,16-JAN-2012 22:00:54
513197,24387119,757,"FUEL_ECONOMY",1.467,16-JAN-2012 22:01:54
513197,24387119,757,"FUEL_ECONOMY",1.571,16-JAN-2012 17:54:52
513197,24387119,757,"FUEL_ECONOMY",1.378,16-JAN-2012 17:50:52
513197,24387119,757,"FUEL_ECONOMY",0.637,16-JAN-2012 18:07:52
513197,24387119,757,"FUEL_ECONOMY",0.402,16-JAN-2012 17:32:27
513197,24387119,757,"FUEL_ECONOMY",5.546,16-JAN-2012 19:58:03
513197,24387119,757,"FUEL_ECONOMY",1.142,16-JAN-2012 20:01:04
513197,24387119,757,"FUEL_ECONOMY",0.756,16-JAN-2012 21:54:54
513197,24387119,757,"FUEL_ECONOMY",1.246,16-JAN-2012 21:39:21
